91.12.103.251 - - [02/Feb/2011:01:40:34 -0500] "GET /" 200 - "http://lispnyc.org/blog/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:2.0b10) Gecko/20100101 Firefox/4.0b10"
193.105.111.8 - - [02/Feb/2011:04:53:04 -0500] "GET /" 200 - "http://lispnyc.org/blog/default/2011/02" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 1.1.4322)"
66.249.72.43 - - [02/Feb/2011:06:36:41 -0500] "GET /2011/01/31/1296530894006.html" 404 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [02/Feb/2011:06:36:41 -0500] "GET /2011/01/31/1296530894006.html" 404 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [02/Feb/2011:07:01:16 -0500] "GET /" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [02/Feb/2011:08:11:16 -0500] "GET /2011/01/31/1296530894006.html" 404 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [02/Feb/2011:08:11:16 -0500] "GET /2011/01/31/1296530894006.html" 404 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [02/Feb/2011:10:10:55 -0500] "GET /2011/02" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [02/Feb/2011:10:11:01 -0500] "GET /2011/02/02" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [02/Feb/2011:13:04:47 -0500] "GET /2011/02/01" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
96.224.71.31 - - [02/Feb/2011:13:44:18 -0500] "GET /" 200 - "http://lispnyc.org/blog/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
96.224.71.31 - - [02/Feb/2011:13:45:02 -0500] "GET /" 200 - "http://lispnyc.org/blog/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
96.224.71.31 - - [02/Feb/2011:13:45:20 -0500] "GET /viewBlogProperties.secureaction" 200 - "http://lispnyc.org/blog/arthur/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
96.224.71.31 - - [02/Feb/2011:13:45:32 -0500] "GET /viewBlogProperties.secureaction" 200 - "http://lispnyc.org/blog/arthur/viewBlogProperties.secureaction" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
68.175.66.95 - - [02/Feb/2011:23:14:30 -0500] "GET /" 200 - "http://lispnyc.org/blog/" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.2.13) Gecko/20101206 Ubuntu/10.04 (lucid) Firefox/3.6.13"
