91.85.168.195 - - [07/Mar/2011:00:59:49 -0500] "GET /this-post-was-written-in-emacs" 200 - - "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.4; en-US; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15"
66.249.72.8 - - [07/Mar/2011:01:14:30 -0500] "GET /2011/02/08" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
216.254.79.179 - - [07/Mar/2011:01:27:35 -0500] "GET /this-post-was-written-in-emacs" 200 - - "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.2.14) Gecko/20110221 Ubuntu/9.10 (karmic) Firefox/3.6.14"
66.249.72.8 - - [07/Mar/2011:03:25:52 -0500] "GET /2011/02/08" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [07/Mar/2011:03:57:17 -0500] "GET /2011/03/07" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [07/Mar/2011:04:49:58 -0500] "GET /2011/03/07" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [07/Mar/2011:05:26:54 -0500] "GET /2011/02/05" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
184.218.134.47 - - [07/Mar/2011:09:20:57 -0500] "GET /this-post-was-written-in-emacs" 200 - "http://lispnyc.org/blog/" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.2.14) Gecko/20110221 Ubuntu/10.04 (lucid) Firefox/3.6.14"
184.218.134.47 - - [07/Mar/2011:09:21:25 -0500] "POST /saveComment.action" 200 - "http://lispnyc.org/blog/brian/this-post-was-written-in-emacs" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.2.14) Gecko/20110221 Ubuntu/10.04 (lucid) Firefox/3.6.14"
184.218.134.47 - - [07/Mar/2011:09:21:29 -0500] "POST /confirmComment.action" 200 - "http://lispnyc.org/blog/brian/saveComment.action" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.2.14) Gecko/20110221 Ubuntu/10.04 (lucid) Firefox/3.6.14"
66.249.72.8 - - [07/Mar/2011:09:41:00 -0500] "GET /2011/02/07" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
184.74.199.18 - - [07/Mar/2011:12:42:08 -0500] "GET /this-post-was-written-in-emacs" 200 - - "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.107 Safari/534.13"
24.210.33.80 - - [07/Mar/2011:12:48:42 -0500] "GET /this-post-was-written-in-emacs" 200 - - "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15"
218.213.130.199 - - [07/Mar/2011:16:37:05 -0500] "GET /" 200 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
