157.55.16.229 - - [19/Feb/2011:01:57:16 +0000] "GET /welcome-to-the-new-website" 200 - - "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.72.43 - - [19/Feb/2011:03:46:55 +0000] "GET /2011/02/15" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:04:51:41 +0000] "GET /" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:04:51:41 +0000] "GET /rss.xml" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:04:51:42 +0000] "GET /search.action" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:04:51:42 +0000] "GET /atom.xml" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:04:53:08 +0000] "GET /subscribe.action" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:04:55:36 +0000] "GET /2011/02" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:05:00:31 +0000] "GET /2011/02/01" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:05:02:59 +0000] "GET /2011/02/19" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:05:05:28 +0000] "GET /2011/02/14" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:05:07:56 +0000] "GET /2011/02/16" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
76.102.36.111 - - [19/Feb/2011:05:46:44 +0000] "GET /authors/heow/" 200 - "http://www.google.com/search?sourceid=chrome&ie=UTF-8&q=Heow+Goodman" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.98 Safari/534.13"
66.249.72.87 - - [19/Feb/2011:05:52:13 +0000] "GET /2011/02/19" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:06:20:56 +0000] "GET /2011/02/06" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:06:22:51 +0000] "GET /2011/02/02" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:06:24:22 +0000] "GET /2011/02/17" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:06:25:54 +0000] "GET /2011/02/15" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:06:27:26 +0000] "GET /2011/02/18" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:06:28:58 +0000] "GET /authors/heow/" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:06:33:34 +0000] "GET /replyToBlogEntry.action?entry=1296569940000" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:06:35:06 +0000] "GET /responses/rss.xml?entry=1296569940000" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:06:36:18 +0000] "GET /2011/02/12" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:07:58:44 +0000] "GET /2011/02/03" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
