68.110.130.10 - - [05/Feb/2011:03:50:21 -0500] "GET /" 200 - "http://lispnyc.org/blog/" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.10 (KHTML, like Gecko) Chrome/8.0.552.237 Safari/534.10"
67.195.114.224 - - [05/Feb/2011:08:03:16 -0500] "GET /" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
67.195.114.224 - - [05/Feb/2011:08:04:13 -0500] "GET /atom.xml" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
67.195.114.224 - - [05/Feb/2011:08:04:14 -0500] "GET /rdf.xml" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
67.195.114.224 - - [05/Feb/2011:08:05:27 -0500] "GET /2011/01" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
67.195.114.224 - - [05/Feb/2011:08:06:03 -0500] "GET /subscribe.action" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
67.195.114.224 - - [05/Feb/2011:08:06:23 -0500] "GET /2011/02" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
67.195.114.224 - - [05/Feb/2011:08:07:49 -0500] "GET /authors/heow/" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
66.249.72.43 - - [05/Feb/2011:15:09:51 -0500] "GET /authors/heow/" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [05/Feb/2011:15:26:35 -0500] "GET /generateTrackBackLink.action?entry=1294763820000" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [05/Feb/2011:15:43:16 -0500] "GET /2011/01/11" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [05/Feb/2011:16:00:39 -0500] "GET /2011/01/11" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [05/Feb/2011:16:40:45 -0500] "GET /2011/02/05" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [05/Feb/2011:17:23:42 -0500] "GET /" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [05/Feb/2011:18:13:53 -0500] "GET /templating-enlive" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [05/Feb/2011:18:30:38 -0500] "GET /replyToBlogEntry.action?entry=1294763820000" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [05/Feb/2011:19:54:18 -0500] "GET /2011/02/03" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [05/Feb/2011:20:01:18 -0500] "GET /2011/02/03" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
141.153.217.57 - - [05/Feb/2011:20:42:45 -0500] "GET /" 200 - "http://lispnyc.org/blog/" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.8.1.19) Gecko/20081216 Ubuntu/7.10 (gutsy) Firefox/2.0.0.19"
