211.43.152.55 - - [27/Feb/2011:00:17:57 -0500] "GET /atom.xml" 200 - - "Mozilla/5.0 Firefox/3.0.5"
66.249.72.8 - - [27/Feb/2011:01:03:34 -0500] "GET /search.action" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:02:15:36 -0500] "GET /2011/02/17" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:02:34:46 -0500] "GET /search.action" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:02:36:01 -0500] "GET /2011/02/27" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:05:51:50 -0500] "GET /replyToBlogEntry.action?entry=1298241840000&comment=1297976184495" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:06:22:42 -0500] "GET /replyToBlogEntry.action?entry=1298241840000&comment=1298385662550" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.46 - - [27/Feb/2011:06:25:16 -0500] "GET /2011/02/20" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:09:17:57 -0500] "GET /2011/02/10" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:09:25:50 -0500] "GET /2011/02/10" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:11:41:46 -0500] "GET /2011/02/24" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:12:12:39 -0500] "GET /2011/02/23" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:14:05:58 -0500] "GET /2011/02/16" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:14:24:29 -0500] "GET /2011/02/25" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
151.48.172.149 - - [27/Feb/2011:14:36:50 -0500] "GET /programming-power-font" 200 - - "Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.12 (KHTML, like Gecko) Chrome/9.0.576.0 Safari/534.12"
220.217.171.91 - - [27/Feb/2011:16:26:49 -0500] "GET /" 200 - "http://lispnyc.org/blog/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
66.249.72.8 - - [27/Feb/2011:17:37:07 -0500] "GET /generateTrackBackLink.action?entry=1294763820000" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
67.195.114.220 - - [27/Feb/2011:18:03:18 -0500] "GET /search.action" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
66.147.236.94 - - [27/Feb/2011:20:44:25 -0500] "GET /responses/rss.xml?entry=1294763820000" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:25 -0500] "GET /responses/rss.xml?entry=1298241840000" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:25 -0500] "GET /templating-enlive" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:25 -0500] "GET /rss.xml" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:29 -0500] "GET /replyToBlogEntry.action?entry=1294763820000" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:30 -0500] "GET /" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
