147.129.91.4 - - [14/Feb/2011:15:00:14 -0500] "GET /rss.xml" 200 - - "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.13) Gecko/20101203 AskTbYLC/3.9.1.14019 Firefox/3.6.13 ( .NET CLR 3.5.30729; .NET4.0E)"
98.206.227.180 - - [14/Feb/2011:15:04:24 -0500] "GET /rss.xml" 200 - - "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
66.249.72.43 - - [14/Feb/2011:17:58:00 -0500] "GET /2011/02/05" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [14/Feb/2011:19:01:53 -0500] "GET /2011/02/05" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [14/Feb/2011:19:58:36 -0500] "GET /2011/02.html" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
67.180.147.189 - - [14/Feb/2011:20:14:09 -0500] "GET /rss.xml" 200 - - "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.8 NET_mmhpset"
66.249.72.43 - - [14/Feb/2011:20:19:20 -0500] "GET /2011/01.html" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [14/Feb/2011:20:43:30 -0500] "GET /2011/02/14" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [14/Feb/2011:20:54:41 -0500] "GET /2011/02.html" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [14/Feb/2011:21:16:53 -0500] "GET /2011/02/14" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
72.30.161.246 - - [14/Feb/2011:22:38:01 -0500] "GET /rss.xml" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
