141.153.215.89 - - [13/Feb/2011:09:46:15 -0500] "GET /" 200 - "http://lispnyc.org/blog/euske/what-if-lisp-was-invented-by-the-japanese" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.8.1.19) Gecko/20081216 Ubuntu/7.10 (gutsy) Firefox/2.0.0.19"
66.249.72.43 - - [13/Feb/2011:10:35:57 -0500] "GET /" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
166.137.137.138 - - [13/Feb/2011:12:08:43 -0500] "GET /" 200 - "http://lispnyc.org:80/blog/rahul/" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5"
66.249.72.43 - - [13/Feb/2011:12:54:43 -0500] "GET /2011/02/13.html" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
67.195.114.220 - - [13/Feb/2011:13:33:38 -0500] "GET /" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
67.195.114.220 - - [13/Feb/2011:13:40:42 -0500] "GET /rss.xml" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
75.204.167.114 - - [13/Feb/2011:15:01:24 -0500] "GET /" 200 - "http://lispnyc.org/blog/cfield/expected-blog-contents" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.5.3 NET_mmhpset ( .NET CLR 3.5.30729; .NET4.0E)"
66.249.72.43 - - [13/Feb/2011:18:13:13 -0500] "GET /subscribe.action" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [13/Feb/2011:18:32:56 -0500] "GET /subscribe.action" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
77.88.28.246 - - [13/Feb/2011:20:27:31 -0500] "GET /rss.xml" 200 - - "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
77.88.28.246 - - [13/Feb/2011:20:30:33 -0500] "GET /" 200 - - "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
