67.195.114.220 - - [20/Feb/2011:00:46:45 +0000] "GET /atom.xml" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
66.249.72.87 - - [20/Feb/2011:03:24:27 +0000] "GET /2011/02/10" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
218.213.130.199 - - [20/Feb/2011:05:30:05 +0000] "GET /" 200 - - "DoCoMo/2.0 P901i(c100;TB;W24H11) (compatible; ichiro/mobile goo; +http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [20/Feb/2011:06:00:14 +0000] "GET /rss.xml" 200 - - "DoCoMo/2.0 P901i(c100;TB;W24H11) (compatible; ichiro/mobile goo; +http://help.goo.ne.jp/door/crawler.html)"
66.249.72.87 - - [20/Feb/2011:07:23:21 +0000] "GET /2011/02/19" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [20/Feb/2011:09:35:25 +0000] "GET /2011/02/20" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
195.42.102.25 - - [20/Feb/2011:09:39:41 +0000] "GET /" 200 - - "Mozilla/5.0 (compatible; Purebot/1.1; +http://www.puritysearch.net/)"
195.42.102.25 - - [20/Feb/2011:09:40:52 +0000] "GET /subscribe.action" 200 - - "Mozilla/5.0 (compatible; Purebot/1.1; +http://www.puritysearch.net/)"
195.42.102.25 - - [20/Feb/2011:09:42:33 +0000] "GET /atom.xml" 200 - - "Mozilla/5.0 (compatible; Purebot/1.1; +http://www.puritysearch.net/)"
195.42.102.25 - - [20/Feb/2011:09:45:01 +0000] "GET /rss.xml" 200 - - "Mozilla/5.0 (compatible; Purebot/1.1; +http://www.puritysearch.net/)"
195.42.102.25 - - [20/Feb/2011:10:01:29 +0000] "GET /rdf.xml" 200 - - "Mozilla/5.0 (compatible; Purebot/1.1; +http://www.puritysearch.net/)"
218.213.130.199 - - [20/Feb/2011:10:02:29 +0000] "GET /rss.xml" 200 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
195.42.102.25 - - [20/Feb/2011:10:02:41 +0000] "GET /2011/01" 200 - - "Mozilla/5.0 (compatible; Purebot/1.1; +http://www.puritysearch.net/)"
195.42.102.25 - - [20/Feb/2011:10:03:31 +0000] "GET /2011/rss.xml" 404 - - "Mozilla/5.0 (compatible; Purebot/1.1; +http://www.puritysearch.net/)"
195.42.102.25 - - [20/Feb/2011:10:03:55 +0000] "GET /search.action" 200 - - "Mozilla/5.0 (compatible; Purebot/1.1; +http://www.puritysearch.net/)"
195.42.102.25 - - [20/Feb/2011:10:03:57 +0000] "GET /2011/search.action" 200 - - "Mozilla/5.0 (compatible; Purebot/1.1; +http://www.puritysearch.net/)"
195.42.102.25 - - [20/Feb/2011:10:06:56 +0000] "GET /2011/02/20" 200 - - "Mozilla/5.0 (compatible; Purebot/1.1; +http://www.puritysearch.net/)"
195.42.102.25 - - [20/Feb/2011:10:09:15 +0000] "GET /2011/02/rss.xml" 404 - - "Mozilla/5.0 (compatible; Purebot/1.1; +http://www.puritysearch.net/)"
218.213.130.199 - - [20/Feb/2011:10:24:55 +0000] "GET /" 200 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
66.249.72.87 - - [20/Feb/2011:20:55:16 +0000] "GET /2011/02/09" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [20/Feb/2011:21:19:33 +0000] "GET /2011/02/07" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
