67.195.114.220 - - [06/Mar/2011:01:07:33 +0000] "GET /atom.xml" 200 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
66.249.72.8 - - [06/Mar/2011:07:46:27 +0000] "GET /2011/01/11" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.46 - - [06/Mar/2011:09:01:05 +0000] "GET /2011/02/22" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [06/Mar/2011:11:46:25 +0000] "GET /2011/03/06" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.226 - - [06/Mar/2011:12:01:29 +0000] "GET /2011/03/04" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
173.230.66.143 - - [06/Mar/2011:12:39:18 +0000] "GET /" 200 - "http://lispnyc.org/blog/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.107 Safari/534.13"
173.230.66.143 - - [06/Mar/2011:12:39:44 +0000] "GET /atom.xml" 200 - "http://lispnyc.org/blog/rahul/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.107 Safari/534.13"
173.230.66.143 - - [06/Mar/2011:12:39:49 +0000] "GET /" 200 - "http://lispnyc.org/blog/" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.107 Safari/534.13"
66.249.72.8 - - [06/Mar/2011:12:51:32 +0000] "GET /2011/01/10" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
71.198.249.17 - - [06/Mar/2011:17:42:17 +0000] "GET /" 200 - "http://lispnyc.org/blog/brian/this-post-was-written-in-emacs" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.3 NET_mmhpset ( .NET CLR 3.5.30729; .NET4.0C)"
66.249.72.8 - - [06/Mar/2011:21:53:39 +0000] "GET /2011/03" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [06/Mar/2011:22:48:18 +0000] "GET /2011/01/09" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
